NCTId,BriefTitle,OfficialTitle,OverallStatus,StartDate,CompletionDate,StudyType,Phase,Condition,InterventionName,PrimaryOutcomeMeasure,BriefSummary,EnrollmentCount,InclusionCriteria,ExclusionCriteria,HealthyVolunteers,Gender,MinimumAge,MaximumAge,StdAges,LocationCountry
NCT03208465,Empagliflozin Versus Sitagliptin Therapy for Improvement of Myocardial Perfusion Reserve in Diabetic Patients With Coronary Artery Disease,Empagliflozin Versus Sitagliptin Therapy for Improvement of Myocardial Perfusion Reserve in Diabetic Patients With Coronary Artery disease_ELITE Trial,COMPLETED,2017-08-07,2019-08-01,INTERVENTIONAL,PHASE4,Diabetes Mellitus; Coronary Disease,Empagliflozin; Sitagliptin,Percent change in global myocardial perfusion reserve (MPR) index,"This trial evaluates the effects of Empagliflozin versus Sitagliptin, in addition to standard of care, on global myocardial perfusion reserve using dynamic single-photon emission computed tomography (SPECT) images.",100,"* Men or women at least 19 years of age * Type 2 diabetes mellitus * Stable coronary artery disease * Global myocardial perfusion reserve (MPR) index \< 2.5 * The patient or guardian agrees to the study protocol and the schedule of clinical and dynamic SPECT follow-up, and provides informed, written consent, as approved by the appropriate Institutional Review Board/Ethical Committee of the respective clinical site.","* Contraindications to empagliflozin, Sitagliptin * DPP4 inhibitors or Sodium-glucose cotransporter-2(SGLT2) inhibitors within the previous 4 weeks * Insulin requiring diabetes * Poor glucose control (HbA1C\>10 %) * Acute coronary syndrome * Stent placement within the previous 6 months * Previous coronary artery bypass graft surgery within the previous 6 months * Planned revascularization within 6 months * Heart failure requiring loop diuretics * Severe left ventricular hypertrophy (left ventricular septal wall thickness \> 13mm) * Significant renal disease manifested by creatinine clearance of \< 30 ml/min) * Hepatic disease or biliary tract obstruction, or significant hepatic enzyme elevation (alanine transaminase or Aspartate Aminotransferase \> 3 times upper limit of normal) * Radiopaque material implanted in the chest wall (metal, silicone, etc.) * Contraindication to adenosine stress test * Any clinically significant abnormality identified at the screening visit, physical examination, laboratory tests, or electrocardiogram which, in the judgment of the Investigator, would preclude safe completion of the study. * Patient's pregnant or breast-feeding or child-bearing potential * Expected life expectancy \< 1 year * Unwillingness or inability to comply with the procedures described in this protocol",False,ALL,19 Years,N/A,ADULT; OLDER_ADULT,"Korea, Republic of"
NCT03380065,Comparison of Two Protocols for Deflation of Radial Band Following Coronary Procedures Via the Radial Artery,Comparison of Two Protocols for Deflation of Radial Band Following Coronary Procedures Via the Radial Route,COMPLETED,2018-01-30,2019-01-20,INTERVENTIONAL,NA,Coronary Artery Disease; Radial Artery Injury,Late deflation of TR band; Early deflation of TR band,Total deflation time,"Coronary angiography is now mainly performed via the radial route rather than the femoral route. At the end of the procedure, the sheath is removed and a band is inflated to obtain hemostasis. The air in the band is then deflated at regular intervals. Currently there are different protocols for deflation of the band, but none of these have been studied with regards to patient comfort and time of deflation, and potential complications such as bleeding. Here in this study the investigators wish to compare two such protocols of band deflation and assess the levels of patient comfort and time to discharge with two widely used protocols.",200,* All patients undergoing coronary procedures via the radial route,* Those below the age of 18 and those unable to give consent,False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,Oman
NCT00565565,Single Dose Escalation Study in Patients With Chronic Heart Failure,"Proof of Concept Study to Investigate Safety, Tolerability, Pharmacokinetics and the Impact on Pulmonary and Systemic Hemodynamics of a Single Oral Dose of BAY60-4552 in Patients With Biventricular Chronic Heart Failure and Pulmonary Hypertension in a Non-randomized, Non-blinded, Dose Escalation Design.",COMPLETED,2007-10,2009-04,INTERVENTIONAL,PHASE1,Heart Failure,BAY60-4552,Change in pulmonary capillary wedge pressure; Change in mean pulmonary artery pressure; AUC; AUC/D; Cmax; Cmax/D; Number of participants with adverse events,"This study is to demonstrate the safety and tolerability of a single oral dose of BAY60-4552 in a single dose escalation design. Furthermore, this study examines the changes in hemodynamics after application of the test substance.42 hospitalized stable patients with chronic heart failure will be included. Several measurements will be performed to test how good the drug works and wether there are any unwanted reactions to the drug (e.g. blood tests, ECG, heart rate, blood pressure, adverse events). After a observation period the patient will be discharged from the hospital.",55,"* Patients with chronic heart failure, undergoing routine invasive measurement of hemodynamic parameters","* Acute heart failure or acute decompensated heart failure, need for acute cardiologic intervention or surgery, severe renal or hepatic insufficiency, severe valvular disease",False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,Germany
NCT02791165,Using Cardiac MRI to Characterise the Dynamic Changes Which Occur in the Acutely Reperfused STEMI Patient,Using Cardiac MRI to Characterise the Dynamic Changes Which Occur in the Acutely Reperfused STEMI Patient,UNKNOWN,2015-12,2017-01,OBSERVATIONAL,N/A,STEMI,N/A,All cause mortality,"There is an optimal day on which to perform the CMR scan which allows one to capture the information required to assess the dynamic changes in the reperfused STEMI patient. The main objective is to characterise the dynamic changes in LV function, MI size, myocardial edema, MVO, IMH, interstitial volume in the remote myocardium over the first 10 days of an acute reperfused STEMI in order to identify the optimal day for performing the CMR scan.",20,1. Confirmed STEMI as per PPCI procedure reports/ clinical notes 2. Proximal to mid coronary artery occlusion. 3. Ability to provide informed consent,"1. Previous myocardial infarction or coronary artery bypass graft surgery 2. Contraindication for CMR (e.g. ferromagnetic implants, claustrophobia, estimated glomerular filtration rate \<30mL/min)",False,ALL,21 Years,99 Years,ADULT; OLDER_ADULT,Singapore
NCT01021865,Effects of Hyperglycemia on Myocardial Perfusion in Humans With and Without Type 2 Diabetes,Effects of Hyperglycemia on Myocardial Perfusion in Humans With and Without Type 2 Diabetes: Modulation by Glucagon-Like-Peptide-1,COMPLETED,2010-02,2014-07,OBSERVATIONAL,N/A,Coronary Artery Disease; Diabetes Mellitus Type 2,Glucagon-Like-Peptide-1/Regadenoson/Perflutren Lipid Microsphere,To determine whether hyperglycemia alters myocardial perfusion in subjects with type 2 diabetes,"The overall goal of this proposal is to determine the effects of acute hyperglycemia and its modulation by Glucagon-like Peptide-1 (GLP-1) on myocardial perfusion in type 2 diabetes (DM). This study plan utilizes myocardial contrast echocardiography (MCE) to explore a) the effects of acute hyperglycemia on myocardial perfusion and coronary flow reserve in individuals with and without DM; and b) the effects of GLP-1 on myocardial perfusion and coronary flow reserve during euglycemia and hyperglycemia in DM. The investigators will recruit individuals with and without DM matched for age, gender and degree of obesity. The investigators will measure myocardial perfusion at rest and during vasodilator stress (to ascertain coronary flow reserve) while subjects are under controlled pancreatic clamp conditions during euglycemia (glucose \~100 mg/dl) and hyperglycemia (glucose \~250 mg/dl) in the presence and absence of concomitant GLP-1 infusion. The investigators believe that the translational significance of their studies is immense, impacting upon both acute and chronic cardiovascular disease manifestations. The effect of glycemic control on cardiovascular outcomes, morbidity and mortality remains an area of active investigation, fueled by the recent conflicting results of several large clinical trials (ACCORD, United Kingdom Prospective Diabetes Study (UKPDS), ADVANCE, VADT). If the investigators find that hyperglycemia is associated with altered myocardial perfusion, the mechanistic implications in the prevention and management of acute and chronic cardiovascular diseases in DM will be groundbreaking. Furthermore, if GLP-1 augments myocardial perfusion (as it does in the peripheral vasculature), the therapeutic benefits for prevention of cardiovascular events in this predisposed population are clear.",33,"* Males and females * Age 40-60 years * BMI\< or = 35 kg/m2 * Diabetic subjects with HbA1c concentrations of \< or = 8%. * Diabetic subjects will be either on diet and lifestyle therapy alone, or monotherapy with metformin or sulphonylureas (except glyburide). * All diabetic subjects should be on stable dose oral agent therapy for 3 months prior to enrollment.","* Subjects with cerebrovascular or peripheral vascular disease. * Subjects with suspected or overt autonomic neuropathy. * Diabetic subject on thiazolidinediones, insulin, GLP-1 based therapies (exenatide or sitagliptin), alpha-glucosidase inhibitors, glyburide or combination antidiabetic drug therapies. * Diabetics with microalbuminuria.",True,ALL,40 Years,60 Years,ADULT,United States
NCT04992065,A Research Study Looking at How NNC0385-0434 Tablets Work to Lower Blood Cholesterol in People With Heart Disease or a High Risk of Heart Disease,"Dose Response and Safety of an Oral PCSK9i, NNC0385-0434, in Patients With Established Atherosclerotic Cardiovascular Disease (ASCVD) or ASCVD Risk on Maximally Tolerated Statin Dose and Other Lipid-lowering Therapy Requiring Further LDL-C Reduction",COMPLETED,2021-08-03,2022-06-20,INTERVENTIONAL,PHASE2,Atherosclerotic Cardiovascular Disease,"NNC0385-0434 A 15 mg; NNC0385-0434 A 40 mg; Placebo I A (for NNC0385-0434 A 15 mg); NNC0385-0434 A 100 mg; Placebo I A (for NNC0385-0434 A 40 mg); Placebo II A (for NNC0385-0434 A 100 mg); Evolocumab 140 mg/mL, Repatha®",Percentage Change in Low-density Lipoprotein (LDL)-Cholesterol,"This study looks at how well a new medicine, NNC0385-0434, works to lower blood cholesterol levels. Participants will either get NNC0385-0434 as a tablet (a potential new medicine), or placebo as a tablet (a dummy medicine that looks like NNC0385-0434 but has no effect on the body), or evolocumab as an injection (a medicine that doctors can already prescribe).

Which treatment participants get is decided by chance. If participants get NNC0385-0434 or placebo participants will need to take 1 tablet every morning. If participants get evolocumab participants will need to take 1 injection every 2 weeks.

The study will last for about 22 weeks. About 255 people will participate in the study. Participants will have 9 visits to the clinic and 2 phone calls with the study doctor. Some people will be invited to participate in a sub-study and will have 4 extra visits (13 visits in total). Participants will have blood samples taken at all visits to the clinic (except visit 0). At 4 clinic visits, participants will have an electrocardiogram (ECG). This is a test to check your heart.

Women can only take part in the study if they are not able to become pregnant.",267,"* Males or females of non-childbearing potential. * Established atherosclerotic cardiovascular disease (ASCVD) (criteria a) or ASCVD risk (criteria b):   1. Age 40 years or older at the time of signing informed consent and history of ASCVD   2. Age above 50 years at the time of signing informed consent and with ASCVD risk * Serum LDL-C above or equal to 1.8 mmol/L (above or equal to 70 mg/dL) as measured by the central laboratory at screening. * Japanese participants: Serum LDL-C above or equal to 2.6 mmol/L (above or equal to 100 mg/dL) for participants of 40 years of age or older and with a history of coronary heart disease, and serum LDL-C above or equal to 3.1 mmol/L (above or equal to 120 mg/dL) for all other Japanese participants * Participants must be on maximally tolerated dose of statins. * Participants not receiving statin must have documented evidence of intolerance to all doses of at least two different statins.","* Treatment with PCSK9i therapy (alirocumab or evolocumab within 90 days prior to screening) or PCSK9 siRNA therapy (inclisiran within 12 months prior to screening). * Fasting triglyceride above 4.52 mmol/L (above 400 mg/dL) as measured by the central laboratory at screening. * Myocardial infarction, stroke, hospitalization for unstable angina pectoris or transient ischaemic attack within 180 days prior to the day of screening. * Renal impairment with eGFR less than 30 ml/min/1.73 m2 as measured by the central laboratory at screening",False,ALL,40 Years,N/A,ADULT; OLDER_ADULT,Poland; Belgium; Germany; United States; Greece; Japan; Netherlands
NCT01346865,Drug-Eluting Stenting Followed by Cilostazol tREAtment Reduces SErious Adverse Cardiac Events (DECREASE-PCI),"A Randomized, Placebo Controlled, Double-blind, Phase 4 Study to Evaluate Efficacy and Safety of Triple Anti-platelet Therapy Compared With Dual Antiplatelet Therapy in Patients Treated With Drug Eluting Stent for Coronary Artery Disease",TERMINATED,2011-05,2015-02,INTERVENTIONAL,PHASE4,Coronary Artery Disease,Cilostazol; Placebo,Major Adverse Cardiac and Cerebrovascular Ischemic Events (MACCE),"The DECREASE-PCI trial is a prospective, randomized, placebo controlled, double-blind, phase 4 study to evaluate efficacy and safety of triple anti-platelet therapy compared with dual antiplatelet therapy in patients treated with DES for Coronary Artery Disease.

The primary objective of this study is to compare the safety and efficacy of triple antiplatelet therapy versus dual (standard) antiplatelet therapy in patients treated with drug-eluting stent (DES) implantation for the treatment of coronary artery disease.",402,1. Clinical 1. Patients with angina and documented ischemia or patients with documented silent ischemia 2. Patients who are eligible and has been successfully applied for DES implantation 3. Age \>18 years 4. Signed written informed consent form prior to study entry 2. Angiographic 1. De novo lesion or restenotic lesions 2. Percent diameter stenosis ≥50% 3. Reference vessel size 2.5 mm by visual estimation,"1. History of bleeding diathesis or coagulopathy (e.g. current use of NSAIDs, Upper GI bleeding during the recent 6 months) 2. Pregnancy or lactation (women who have child-bearing potential) 3. Known hypersensitivity or contra-indication to contrast agent, heparin, eluted-drug of stent 4. Limited life-expectancy (less than 1 year) due to combined serious disease 5. Characteristics of lesion 1)Left main disease 2)Graft vessels 6. Hematological disease (Neutropenia \<3000/mm3, Thrombocytopenia \<100,000/mm3) 7. Hepatic dysfunction, liver enzyme (ALT and AST) elevation 3 times normal 8. Renal dysfunction, creatinine 2.0mg/dL 9. Contraindication to aspirin, clopidogrel or cilostazol 10. Stroke (ischemic or hemorrhagic) or transient ischemic attack (TIA) within 6 months. 11. Planned major surgery within the next 6 months with the need to discontinue antiplatelet therapy",False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,"Korea, Republic of"
NCT00120965,AutoPulse Assisted Prehospital International Resuscitation Trial (ASPIRE),AutoPulse Assisted Prehospital International Resuscitation Trial (ASPIRE),TERMINATED,2004-06,2005-03,INTERVENTIONAL,PHASE3,Cardiac Arrest,AutoPulse; Manual CPR,Hospital admission defined as being alive four hours after the call for assistance to the emergency dispatch center.,The AutoPulse Assisted Prehospital International Resuscitation (ASPIRE) Trial compares the efficacy of circulatory assist by manual chest compression versus an automated chest compression device (AutoPulse™) during the resuscitative attempt following out-of-hospital cardiac arrest.,1837,* All persons with out-of-hospital cardiac arrest who are attended by a vehicle involved in the randomization process and who are treated by the emergency medical service (EMS).,"* Persons under the age of 18 * Victims with traumatic arrest * Less than the legal age of consent * Resuscitation attempt discontinued because of do not resuscitate (DNR) orders or on request of authorized decision-maker * Wards of the state, including prisoners * Chest or abdominal surgery within 6 weeks * Site specific exclusions",False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,United States
NCT06874465,"Transcatheter Aortic Valve Implantation Registry at the National Research Center for Cardiac Surgery, Nur-Sultan, Kazakhstan","TAVI Registry at the National Research Center for Cardiac Surgery, Astana, Kazakhstan",RECRUITING,2020-01-10,2026-01-10,INTERVENTIONAL,NA,Aortic Valve Stenosis,Transcatheter aortic valve implantation,Number of death; Evaluate of echocardiographic results; Incidence of stroke; Permanent pacemaker implantation,"This study will analyze patients with aortic stenosis who have undergone transcatheter valve implantation and surgical aortic valve replacement. Afterwards, the results of these two procedures will be collected to the database and compared among the Kazakhstani population.",100,* Patients has given written informed Concent for study participation prior to procedure * Patients with Aortic Valve stenosis * Patients has severe degenerative or congenital aortic stenosis. * Patients has symptomatic aortic stenosis as demonstrated by NYHA II or greater,* Patients has active endocarditis * Patients has history of cerebral vascular accident or transient ischemic attack within the past 3 months,False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,Kazakhstan
NCT02628665,Clinical Study of Time Optimizing of Endoscopic Photodynamic Therapy on Esophageal and/or Gastric Cardiac Cancer,Two-arm Phase III Trial Comparing Different Time of Endoscopic Photodynamic Therapy on Esophageal and/or Gastric Cardiac Cancer,UNKNOWN,2015-10,2019-12,INTERVENTIONAL,PHASE3,Stage I Esophageal Adenocarcinoma; Stage II Esophageal Adenocarcinoma; Stage III Esophageal Adenocarcinoma; Stage I Esophageal Squamous Cell Carcinoma; Stage II Esophageal Squamous Cell Carcinoma; Stage III Esophageal Squamous Cell Carcinoma,photosensitizer(photofrin); 630 nm laser irradiation (DIOMED),Partial remission rate,The therapy of photofrin PDT was effective in improving life quality of patients with advanced esophageal and/or gastric cardiac cancer and the time optimizing for employing laser irradiation was of great importance.The purpose of this study is to evaluate the clinical efficacy and adverse effects of Photodynamic Therapy (PDT) on esophageal and/or gastric cardiac cancer during different time after inject photofrin.,40,"* In the esophagus, patients with severe dysplasia and carcinoma in situ * The patients have not received the surgery or chemo-radiotherapy. * Hb≥80g/L, absolute neutrophil count ≥1.5×109/L, Plt≥90×109/L, ALT、AST≤2.5\*N,Cr≤1.5\*N. * Performance status score 0-2","* pregnant, lactating women * History of organ transplantation * The peripheral nervous system disorders * Severe infection * Oral capecitabine who have difficulty with,such as dysphagia,The activities of digestive ulcer, Gastrointestinal bleeding * Severe chronic diseases, such as, hepatopathy, nephropathy, respiratory disease,high blood pressure, diabetes. * Other malignant tumor in recent 5 years.",False,ALL,N/A,N/A,CHILD; ADULT; OLDER_ADULT,China
